"","Major","Total","Men","Women","Major_category","ShareWomen","Employed","Full_time","Part_time","Full_time_year_round","Unemployment_rate","Median","P25th","P75th","College_jobs","Non_college_jobs","Low_wage_jobs","Engineering","LogMedian"
"13","BIOMEDICAL ENGINEERING",14955,8407,6548,"Engineering",0.437846874,10047,9017,2694,5986,0.09208386,60000,36000,70000,6439,2471,789,"1",11.0020998412042
"14","MATERIALS SCIENCE",4279,2949,1330,"Engineering",0.310820285,3307,2751,878,1967,0.023042836,60000,39000,65000,2626,391,81,"1",11.0020998412042
"15","ENGINEERING MECHANICS PHYSICS AND SCIENCE",4321,3526,795,"Engineering",0.183985189,3608,2999,811,2004,0.006334343,58000,25000,74000,2439,947,263,"1",10.9681982895286
"16","BIOLOGICAL ENGINEERING",8925,6062,2863,"Engineering",0.320784314,6170,5455,1983,3413,0.087143069,57100,40000,76000,3603,1595,524,"1",10.9525593956441
"17","INDUSTRIAL AND MANUFACTURING ENGINEERING",18968,12453,6515,"Engineering",0.343473218,15604,14879,2243,11326,0.042875544,57000,37900,67000,8306,3235,640,"1",10.9508065468167
"18","GENERAL ENGINEERING",61152,45683,15469,"Engineering",0.252959838,44931,41235,7199,33540,0.059824231,56000,36000,69000,26898,11734,3192,"1",10.9331069697173
"19","ARCHITECTURAL ENGINEERING",2825,1835,990,"Engineering",0.350442478,2575,2277,343,1848,0.061930783,54000,38000,65000,1665,649,137,"1",10.8967393255464
"20","COURT REPORTING",1148,877,271,"Law & Public Policy",0.236062718,930,808,223,808,0.011689692,54000,50000,54000,402,528,144,"0",10.8967393255464
"21","COMPUTER SCIENCE",128319,99743,28576,"Computers & Mathematics",0.222695002,102087,91485,18726,70932,0.063172771,53000,39000,70000,68622,25667,5144,"0",10.8780471925343
"22","FOOD SCIENCE",NA,NA,NA,"Agriculture & Natural Resources",NA,3149,2558,1121,1735,0.09693146,53000,32000,70000,1183,1274,485,"0",10.8780471925343
"23","ELECTRICAL ENGINEERING TECHNOLOGY",11565,8181,3384,"Engineering",0.292607004,8587,7530,1873,5681,0.087557114,52000,35000,60000,5126,2686,696,"1",10.8589989975636
"24","MATERIALS ENGINEERING AND MATERIALS SCIENCE",2993,2020,973,"Engineering",0.325091881,2449,1658,1040,1151,0.027788805,52000,35000,62000,1911,305,70,"1",10.8589989975636
"25","MANAGEMENT INFORMATION SYSTEMS AND STATISTICS",18713,13496,5217,"Business",0.278790146,16413,15141,2420,13017,0.058239614,51000,38000,60000,6342,5741,708,"0",10.8395809117065
"26","CIVIL ENGINEERING",53153,41081,12072,"Engineering",0.227117943,43041,38302,10080,29196,0.070609574,50000,40000,60000,28526,9356,2899,"1",10.8197782844103
"27","CONSTRUCTION SERVICES",18498,16820,1678,"Industrial Arts & Consumer Services",0.090712509,16318,15690,1751,12313,0.060023041,50000,36000,60000,3275,5351,703,"0",10.8197782844103
"28","OPERATIONS LOGISTICS AND E-COMMERCE",11732,7921,3811,"Business",0.32483805,10027,9639,1183,7724,0.047858703,50000,40000,60000,1466,3629,285,"0",10.8197782844103
"29","MISCELLANEOUS ENGINEERING",9133,7398,1735,"Engineering",0.189970437,7428,6811,1662,5476,0.074392523,50000,39000,65000,3445,2426,365,"1",10.8197782844103
"30","PUBLIC POLICY",5978,2639,3339,"Law & Public Policy",0.558548009,4547,4163,1306,2776,0.128426299,50000,35000,70000,1550,1871,340,"0",10.8197782844103
"31","ENVIRONMENTAL ENGINEERING",4047,2662,1385,"Engineering",0.342228811,2983,2384,930,1951,0.093588575,50000,42000,56000,2028,830,260,"1",10.8197782844103
"32","ENGINEERING TECHNOLOGIES",3600,2695,905,"Engineering",0.251388889,2799,2257,689,1723,0.055030385,50000,43000,60000,1017,1269,142,"1",10.8197782844103
"33","MISCELLANEOUS FINE ARTS",3340,1970,1370,"Arts",0.410179641,2914,2049,1067,1200,0.089375,50000,25000,66000,693,1714,755,"0",10.8197782844103
"34","GEOLOGICAL AND GEOPHYSICAL ENGINEERING",720,488,232,"Engineering",0.322222222,604,524,126,396,0.075038285,50000,42800,57000,501,50,49,"1",10.8197782844103
"35","NURSING",209394,21773,187621,"Health",0.896018988,180903,151191,40818,122817,0.044862724,48000,39000,58000,151643,26146,6193,"0",10.77895628989
"36","FINANCE",174506,115030,59476,"Business",0.340824957,145696,137921,21463,108595,0.060686356,47000,35000,64000,24243,48447,9910,"0",10.7579028806922
"37","ECONOMICS",139247,89749,49498,"Social Science",0.355469059,104117,96567,25325,70740,0.099092317,47000,35000,65000,25582,37057,10653,"0",10.7579028806922
"38","BUSINESS ECONOMICS",13302,7575,5727,"Business",0.430536761,10914,10048,1937,8000,0.096448381,46000,33000,58000,1578,4612,1284,"0",10.7363966754712
"39","INDUSTRIAL PRODUCTION TECHNOLOGIES",4631,3477,1154,"Engineering",0.24919024,4428,3988,597,3242,0.028308097,46000,35000,65000,1394,2454,480,"1",10.7363966754712
"40","NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES",2116,528,1588,"Physical Sciences",0.75047259,1778,1392,579,1115,0.07154047,46000,38000,53000,162,1475,124,"0",10.7363966754712
"41","ACCOUNTING",198633,94519,104114,"Business",0.524152583,165527,151967,27693,123169,0.069749014,45000,34000,56000,11417,39323,10886,"0",10.7144177687525
"42","MATHEMATICS",72397,39956,32441,"Computers & Mathematics",0.448098678,58118,46399,18079,33738,0.047277138,45000,33000,60000,34800,14829,4569,"0",10.7144177687525
"43","COMPUTER AND INFORMATION SYSTEMS",36698,27392,9306,"Computers & Mathematics",0.253583302,28459,26348,4332,21130,0.093460326,45000,30000,60000,13344,11783,1672,"0",10.7144177687525
"44","PHYSICS",32142,23080,9062,"Physical Sciences",0.281936407,25302,19428,8721,14389,0.048224496,45000,30000,68000,18674,4576,1823,"0",10.7144177687525
"45","MEDICAL TECHNOLOGIES TECHNICIANS",15914,3916,11998,"Health",0.75392736,13150,11510,2665,9005,0.03698279,45000,36000,50000,5546,7176,1002,"0",10.7144177687525
"46","INFORMATION SCIENCES",11913,9005,2908,"Computers & Mathematics",0.244103081,9881,9105,1468,7378,0.060741445,45000,32500,58000,4390,4102,608,"0",10.7144177687525
"47","STATISTICS AND DECISION SCIENCE",6251,2960,3291,"Computers & Mathematics",0.526475764,4247,3190,1840,2151,0.086273666,45000,26700,60000,2298,1200,343,"0",10.7144177687525
"48","APPLIED MATHEMATICS",4939,2794,2145,"Computers & Mathematics",0.434298441,3854,3465,1176,2593,0.090823307,45000,34000,63000,2437,803,357,"0",10.7144177687525
"49","PHARMACOLOGY",1762,515,1247,"Biology & Life Science",0.707718502,1144,657,532,565,0.085531575,45000,40000,45000,603,478,93,"0",10.7144177687525
"50","OCEANOGRAPHY",2418,752,1666,"Physical Sciences",0.688999173,1638,1931,379,1595,0.056994819,44700,23000,50000,459,996,186,"0",10.7077287806017
"51","ENGINEERING AND INDUSTRIAL MANAGEMENT",2906,2400,506,"Engineering",0.174122505,2125,1992,462,1358,0.03365166,44000,30000,50000,482,844,245,"1",10.6919449129004
"52","MEDICAL ASSISTING SERVICES",11123,803,10320,"Health",0.927807246,9168,5643,4107,4290,0.042506527,42000,30000,65000,2091,6948,1270,"0",10.6454248972655
"53","MATHEMATICS AND COMPUTER SCIENCE",609,500,109,"Computers & Mathematics",0.178981938,559,584,0,391,0,42000,30000,78000,452,67,25,"0",10.6454248972655
"54","COMPUTER PROGRAMMING AND DATA PROCESSING",4168,3046,1122,"Computers & Mathematics",0.269193858,3257,3204,482,2453,0.11398259,41300,20000,46000,2024,1033,263,"0",10.6286177789491
"55","COGNITIVE SCIENCE AND BIOPSYCHOLOGY",3831,1667,2164,"Biology & Life Science",0.56486557,2741,2470,711,1584,0.075236167,41000,20000,60000,1369,921,135,"0",10.6213273456864
"56","SCHOOL STUDENT COUNSELING",818,119,699,"Education",0.854523227,730,595,135,545,0.107579462,41000,41000,43000,509,221,0,"0",10.6213273456864
"57","INTERNATIONAL RELATIONS",28187,10345,17842,"Social Science",0.632986838,21190,18681,5563,13583,0.096798943,40100,31200,53000,6774,9570,2499,"0",10.5991316132947
"58","GENERAL BUSINESS",234590,132238,102352,"Business",0.436301633,190183,171385,36241,138299,0.072861468,40000,30000,55000,29334,100831,27320,"0",10.5966347330961
"59","ARCHITECTURE",46420,25463,20957,"Engineering",0.451464886,34158,29223,10206,20026,0.113331949,40000,31000,50000,16178,13724,4221,"1",10.5966347330961
"60","INTERNATIONAL BUSINESS",25894,10624,15270,"Business",0.589711902,19660,17563,4890,12823,0.096175064,40000,30000,50000,3383,9482,3046,"0",10.5966347330961
"61","PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION",23551,8697,14854,"Health",0.630716318,16620,12537,5346,9131,0.055520827,40000,20000,90000,11573,4493,1121,"0",10.5966347330961
"62","MOLECULAR BIOLOGY",18300,7426,10874,"Biology & Life Science",0.59420765,11581,9441,4590,6183,0.084361164,40000,29000,47000,7225,3145,1168,"0",10.5966347330961
"63","MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION",17947,10285,7662,"Business",0.42692372,14826,13364,3366,10637,0.071982974,40000,30000,51000,2236,8937,1758,"0",10.5966347330961
"64","AGRICULTURE PRODUCTION AND MANAGEMENT",14240,9658,4582,"Agriculture & Natural Resources",0.321769663,12323,11119,2196,9093,0.050030836,40000,25000,50000,1925,6221,1362,"0",10.5966347330961
"65","GENERAL AGRICULTURE",10399,6053,4346,"Agriculture & Natural Resources",0.4179248,8884,7589,2031,5888,0.019642463,40000,30000,50000,2418,4717,839,"0",10.5966347330961
"66","MISCELLANEOUS ENGINEERING TECHNOLOGIES",8804,7043,1761,"Engineering",0.200022717,7502,7001,1240,5825,0.05253852,40000,30400,56000,2446,3896,386,"1",10.5966347330961
"67","MECHANICAL ENGINEERING RELATED TECHNOLOGIES",4790,4419,371,"Engineering",0.077453027,4186,4175,247,3607,0.056357078,40000,27000,52000,1861,2121,406,"1",10.5966347330961
"68","GENETICS",3635,1761,1874,"Biology & Life Science",0.515543329,2463,1787,847,1487,0.034117647,40000,34000,45000,1675,678,201,"0",10.5966347330961
"69","MISCELLANEOUS SOCIAL SCIENCES",3283,1499,1784,"Social Science",0.543405422,2727,2183,907,1530,0.073079538,40000,30000,54000,744,1654,573,"0",10.5966347330961
"70","UNITED STATES HISTORY",3079,1756,1323,"Humanities & Liberal Arts",0.429684963,2787,2103,839,1274,0.047179487,40000,30000,42000,801,1591,302,"0",10.5966347330961
"71","INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY",3014,1075,1939,"Psychology & Social Work",0.643331121,2343,1644,1095,1409,0.108786611,40000,32000,53000,559,1224,272,"0",10.5966347330961
"72","AGRICULTURAL ECONOMICS",2439,1749,690,"Agriculture & Natural Resources",0.282902829,2174,1819,620,1528,0.077249576,40000,27000,54000,535,893,94,"0",10.5966347330961
"73","PHYSICAL SCIENCES",1436,894,542,"Physical Sciences",0.377437326,1146,768,437,653,0.035353535,40000,30000,55000,530,465,269,"0",10.5966347330961
"74","MILITARY TECHNOLOGIES",124,124,0,"Industrial Arts & Consumer Services",0,0,111,0,111,0,40000,40000,40000,0,0,0,"0",10.5966347330961
"75","CHEMISTRY",66530,32923,33607,"Physical Sciences",0.505140538,48535,39509,15066,29910,0.0539724,39000,30000,49900,30382,14718,4288,"0",10.5713169251118
"76","ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION",2435,1869,566,"Industrial Arts & Consumer Services",0.232443532,2107,2057,287,1752,0.029479503,38400,22500,45000,221,1659,81,"0",10.5558127385758
"77","BUSINESS MANAGEMENT AND ADMINISTRATION",329927,173809,156118,"Business",0.473189524,276234,251540,50357,199897,0.072218341,38000,29000,50000,36720,148395,32395,"0",10.5453414387085
"78","MARKETING AND MARKETING RESEARCH",205211,78857,126354,"Business",0.615727227,178862,156668,35829,127230,0.061215064,38000,30000,50000,25320,93889,27968,"0",10.5453414387085
"79","POLITICAL SCIENCE AND GOVERNMENT",182621,93880,88741,"Social Science",0.485929877,133454,117709,43711,83236,0.101174601,38000,28000,50000,36854,66947,19803,"0",10.5453414387085
"80","GEOGRAPHY",18480,11404,7076,"Social Science",0.382900433,14057,11367,5651,8628,0.113458628,38000,30000,50000,5350,6830,1905,"0",10.5453414387085
"81","MICROBIOLOGY",15232,6383,8849,"Biology & Life Science",0.580948004,9685,7453,3379,5080,0.066775872,38000,29600,50000,5577,3174,1246,"0",10.5453414387085
"82","COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY",8066,6607,1459,"Computers & Mathematics",0.180882718,6509,6289,1030,4936,0.099723375,37500,25000,50000,2354,3244,308,"0",10.5320962119585
"83","BIOCHEMICAL SCIENCES",39107,18951,20156,"Biology & Life Science",0.515406449,25678,20643,9948,13785,0.080531385,37400,29000,50000,15654,8394,3012,"0",10.5294259834026
"84","BOTANY",1329,626,703,"Biology & Life Science",0.52896915,1010,946,169,740,0,37000,26000,40000,677,184,56,"0",10.5186731916264
"85","COMPUTER NETWORKING AND TELECOMMUNICATIONS",7613,5291,2322,"Computers & Mathematics",0.305004597,6144,5495,1447,4369,0.151849807,36400,27000,49000,2593,2941,352,"0",10.5023240536248
"86","GEOLOGY AND EARTH SCIENCE",10972,5813,5159,"Physical Sciences",0.470196865,8296,6966,2913,5008,0.075448568,36200,28000,47000,4858,2792,959,"0",10.4968143978139
"87","HUMAN RESOURCES AND PERSONNEL MANAGEMENT",24497,6184,18313,"Business",0.747560926,20760,18550,3767,15446,0.059569649,36000,28000,45000,2406,9629,1906,"0",10.4912742174382
"88","PRE-LAW AND LEGAL STUDIES",13528,4435,9093,"Law & Public Policy",0.672161443,9762,7851,3595,5370,0.071965016,36000,29200,46000,2002,6454,1336,"0",10.4912742174382
"89","MISCELLANEOUS HEALTH MEDICAL PROFESSIONS",13386,1589,11797,"Health",0.881293889,10076,7514,4145,5868,0.08141125,36000,23000,42000,5652,3835,1422,"0",10.4912742174382
"90","PUBLIC ADMINISTRATION",5629,2947,2682,"Law & Public Policy",0.476461183,4158,4148,847,2952,0.1594906,36000,23000,60000,919,2313,496,"0",10.4912742174382
"91","GEOSCIENCES",1978,809,1169,"Physical Sciences",0.591001011,1441,1264,354,1011,0.024373731,36000,21000,41000,784,591,221,"0",10.4912742174382
"92","SOCIAL PSYCHOLOGY",1386,413,973,"Psychology & Social Work",0.702020202,1080,828,433,529,0.029649596,36000,34000,45000,434,593,37,"0",10.4912742174382
"93","ENVIRONMENTAL SCIENCE",25965,10787,15178,"Biology & Life Science",0.584556133,20859,16987,7071,10916,0.078584681,35600,25000,40200,8149,10076,3175,"0",10.4801009168401
"94","COMMUNICATIONS",213996,70619,143377,"Communications & Journalism",0.669998505,179633,147335,49889,116251,0.075176976,35000,27000,45000,40763,97964,27440,"0",10.4631033404715
"95","CRIMINAL JUSTICE AND FIRE PROTECTION",152824,80231,72593,"Law & Public Policy",0.47501047,125393,109970,32242,88548,0.082452199,35000,26000,45000,24348,88858,18404,"0",10.4631033404715
"96","COMMERCIAL ART AND GRAPHIC DESIGN",103480,32041,71439,"Arts",0.690365288,83483,67448,24387,52243,0.096797577,35000,25000,45000,37389,38119,14839,"0",10.4631033404715
"97","JOURNALISM",72619,23736,48883,"Communications & Journalism",0.673143392,61022,51411,15902,39524,0.069176442,35000,26000,42900,23279,26672,8512,"0",10.4631033404715
"98","MULTI-DISCIPLINARY OR GENERAL SCIENCE",62052,27015,35037,"Physical Sciences",0.564639335,46138,37850,13133,28966,0.055806815,35000,24000,50000,17923,22039,5751,"0",10.4631033404715
"99","ADVERTISING AND PUBLIC RELATIONS",53162,12862,40300,"Communications & Journalism",0.758060269,45326,38815,10948,30932,0.067960766,35000,27000,47000,9659,23059,7214,"0",10.4631033404715
"100","AREA ETHNIC AND CIVILIZATION STUDIES",31195,8739,22456,"Humanities & Liberal Arts",0.719858952,24629,18755,9541,13109,0.063429289,35000,24500,44000,8465,11818,3677,"0",10.4631033404715
"101","SPECIAL NEEDS EDUCATION",28739,2682,26057,"Education",0.906677337,24639,21584,5153,16642,0.041507819,35000,32000,42000,20185,3797,1179,"0",10.4631033404715
"102","PHYSIOLOGY",22060,8422,13638,"Biology & Life Science",0.618223028,14643,10732,6541,7588,0.0691628,35000,20000,50000,6587,6894,2237,"0",10.4631033404715
"103","CRIMINOLOGY",19879,10031,9848,"Social Science",0.495397153,16181,13616,4543,10548,0.097243919,35000,25000,45000,3373,10605,1895,"0",10.4631033404715
"104","NUTRITION SCIENCES",18909,2563,16346,"Health",0.864456079,13217,9601,6648,6625,0.068700676,35000,26000,45000,6535,5473,2449,"0",10.4631033404715
"105","HEALTH AND MEDICAL ADMINISTRATIVE SERVICES",18109,4266,13843,"Health",0.764426528,15419,13534,3299,10982,0.089626262,35000,27000,42000,2589,8592,1391,"0",10.4631033404715
"106","COMMUNICATION TECHNOLOGIES",18035,11431,6604,"Computers & Mathematics",0.366176878,14779,11981,4690,9085,0.119511469,35000,25000,45000,4545,8794,2495,"0",10.4631033404715
"107","TRANSPORTATION SCIENCES AND TECHNOLOGIES",15150,13257,1893,"Industrial Arts & Consumer Services",0.124950495,12266,11688,2633,9170,0.072724524,35000,22000,52000,4575,6147,557,"0",10.4631033404715
"108","NATURAL RESOURCES MANAGEMENT",13773,8617,5156,"Agriculture & Natural Resources",0.374355623,11797,10722,2613,6954,0.066619195,35000,25000,42000,4333,5808,1405,"0",10.4631033404715
"109","NEUROSCIENCE",13663,4944,8719,"Biology & Life Science",0.63814682,9087,8027,3078,5482,0.048481675,35000,30000,44000,5605,2301,902,"0",10.4631033404715
"110","MULTI/INTERDISCIPLINARY STUDIES",12296,2817,9479,"Interdisciplinary",0.770901106,9821,8032,3173,6234,0.070860927,35000,25000,44000,5176,3903,1061,"0",10.4631033404715
"111","ATMOSPHERIC SCIENCES AND METEOROLOGY",4043,2744,1299,"Physical Sciences",0.321296067,3431,2659,1309,2161,0.022228555,35000,28000,50000,1808,1317,237,"0",10.4631033404715
"112","FORESTRY",3607,3156,451,"Agriculture & Natural Resources",0.125034655,3007,2473,891,1763,0.096725743,35000,28600,48000,1096,1692,327,"0",10.4631033404715
"113","SOIL SCIENCE",685,476,209,"Agriculture & Natural Resources",0.305109489,613,488,185,383,0,35000,18500,44000,355,144,0,"0",10.4631033404715
"114","GENERAL EDUCATION",143718,26893,116825,"Education",0.812876606,118241,98408,29558,73531,0.057359929,34000,26000,41000,82007,31112,11443,"0",10.4341158035983
"115","HISTORY",141951,78253,63698,"Humanities & Liberal Arts",0.448732309,105646,84681,40657,59218,0.095666912,34000,25000,47000,35336,54569,16839,"0",10.4341158035983
"116","FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES",48246,12835,35411,"Humanities & Liberal Arts",0.733967583,38315,29340,14569,20056,0.075566386,34000,25000,45000,15051,18193,5267,"0",10.4341158035983
"117","INTERCULTURAL AND INTERNATIONAL STUDIES",24650,8575,16075,"Humanities & Liberal Arts",0.652129817,18824,14354,7978,8801,0.083633531,34000,24000,45000,4956,10343,3168,"0",10.4341158035983
"118","SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION",20198,9950,10248,"Education",0.507376968,17700,14002,5168,8871,0.054082941,34000,23050,42000,10928,5561,1806,"0",10.4341158035983
"119","COMMUNITY AND PUBLIC HEALTH",19735,4103,15632,"Health",0.792095262,14512,10099,6377,7460,0.112144387,34000,21000,45000,5225,7385,1854,"0",10.4341158035983
"120","MATHEMATICS TEACHER EDUCATION",14237,3872,10365,"Education",0.728032591,13115,11259,2273,8073,0.016202835,34000,30000,40000,10699,1977,786,"0",10.4341158035983
"121","EDUCATIONAL ADMINISTRATION AND SUPERVISION",804,280,524,"Education",0.651741294,703,733,0,504,0,34000,29000,35000,346,206,111,"0",10.4341158035983
"122","HEALTH AND MEDICAL PREPARATORY PROGRAMS",12740,5521,7219,"Health",0.566640502,7052,5029,3891,3236,0.069779712,33500,23000,40000,3051,3539,1159,"0",10.4193007178132
"123","MISCELLANEOUS BIOLOGY",10706,4747,5959,"Biology & Life Science",0.556603774,7767,6076,2568,4542,0.058545455,33500,23000,48000,4253,2722,459,"0",10.4193007178132
"124","BIOLOGY",280709,111762,168947,"Biology & Life Science",0.601858152,182295,144512,72371,100336,0.070724732,33400,24000,45000,88232,81109,28339,"0",10.4163111789648
"125","SOCIOLOGY",115433,32510,82923,"Social Science",0.718364766,92721,73475,29639,56561,0.084951001,33000,25000,44000,29051,48899,13748,"0",10.4042628404486
"126","MASS MEDIA",52824,24704,28120,"Communications & Journalism",0.532333788,44679,35769,13078,27521,0.089836827,33000,25000,45000,12855,25297,6429,"0",10.4042628404486
"127","TREATMENT THERAPY PROFESSIONS",48491,13487,35004,"Health",0.721865913,37861,30020,12346,21735,0.059821207,33000,24000,41000,22215,14616,4468,"0",10.4042628404486
"128","HOSPITALITY MANAGEMENT",43647,15204,28443,"Business",0.651659908,36728,32160,7494,23106,0.061169193,33000,25000,42000,2325,23341,9063,"0",10.4042628404486
"129","LANGUAGE AND DRAMA EDUCATION",30471,3741,26730,"Education",0.877227528,26033,21419,7239,15266,0.050306435,33000,24000,40000,17985,6824,2819,"0",10.4042628404486
"130","LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE",16601,4416,12185,"Humanities & Liberal Arts",0.733991928,11165,8462,4831,5821,0.10443571,33000,25000,40000,4122,5695,2085,"0",10.4042628404486
"131","MISCELLANEOUS EDUCATION",10150,3654,6496,"Education",0.64,8691,7264,2202,5816,0.059211951,33000,30000,45000,5284,2438,657,"0",10.4042628404486
"132","INTERDISCIPLINARY SOCIAL SCIENCES",9916,2337,7579,"Social Science",0.76432029,7444,5843,2834,4714,0.092305816,33000,24000,40000,2630,3906,1470,"0",10.4042628404486
"133","ECOLOGY",9154,3878,5276,"Biology & Life Science",0.576360061,7585,5603,2741,3912,0.054475193,33000,23000,42000,2856,4159,976,"0",10.4042628404486
"134","SECONDARY TEACHER EDUCATION",17125,6820,10305,"Education",0.601751825,15116,12520,3782,9193,0.05222898,32500,25000,38000,10304,3967,1385,"0",10.3889953683178
"135","GENERAL MEDICAL AND HEALTH SERVICES",33599,7574,26025,"Health",0.774576624,24406,18166,11088,12809,0.082101621,32400,25000,45000,9364,12889,3816,"0",10.3859137017804
"136","PHILOSOPHY AND RELIGIOUS STUDIES",54814,31967,22847,"Humanities & Liberal Arts",0.416809574,40157,31086,16659,21816,0.096051684,32200,23000,47100,14444,20313,8051,"0",10.3797217315325
"137","ART AND MUSIC EDUCATION",34181,10732,23449,"Education",0.6860244,30007,23018,9209,16537,0.038637747,32100,25000,40000,20821,8260,2767,"0",10.3766113091181
"138","ENGLISH LANGUAGE AND LITERATURE",194673,58227,136446,"Humanities & Liberal Arts",0.70089843,149180,114386,57825,81180,0.08772359,32000,23000,41000,57690,71827,26503,"0",10.3734911817819
"139","ELEMENTARY EDUCATION",170862,13029,157833,"Education",0.923745479,149339,123177,37965,86540,0.046585715,32000,23400,38000,108085,36972,11502,"0",10.3734911817819
"140","PHYSICAL FITNESS PARKS RECREATION AND LEISURE",125074,62181,62893,"Industrial Arts & Consumer Services",0.502846315,103078,77428,38515,57978,0.051467273,32000,24000,43000,27581,63946,16838,"0",10.3734911817819
"141","LIBERAL ARTS",71369,22339,49030,"Humanities & Liberal Arts",0.686992952,54844,43401,19187,33438,0.078267592,32000,25000,42000,18565,28558,9030,"0",10.3734911817819
"142","FILM VIDEO AND PHOTOGRAPHIC ARTS",38761,22357,16404,"Arts",0.423208896,31433,22457,12818,15740,0.10577224,32000,22000,42000,7368,20721,5862,"0",10.3734911817819
"143","GENERAL SOCIAL SCIENCES",12920,5079,7841,"Social Science",0.606888545,9602,7700,3396,5679,0.103454715,32000,27000,50000,3602,4778,1634,"0",10.3734911817819
"144","PLANT SCIENCE AND AGRONOMY",7416,4897,2519,"Agriculture & Natural Resources",0.339670982,6594,5798,1246,4522,0.045454545,32000,22900,40000,2089,3545,1231,"0",10.3734911817819
"145","SCIENCE AND COMPUTER TEACHER EDUCATION",6483,2049,4434,"Education",0.683942619,5362,4764,1227,3247,0.047263682,32000,28000,39000,4214,1106,591,"0",10.3734911817819
"146","PSYCHOLOGY",393735,86648,307087,"Psychology & Social Work",0.779933204,307933,233205,115172,174438,0.083810867,31500,24000,41000,125148,141860,48207,"0",10.3577428248137
"147","MUSIC",60633,29909,30724,"Arts",0.506720763,47662,29010,24943,21425,0.075959674,31000,22300,42000,13752,28786,9286,"0",10.3417424834673
"148","PHYSICAL AND HEALTH EDUCATION TEACHING",28213,15670,12543,"Education",0.444582285,23794,19420,7230,13651,0.074667496,31000,24000,40000,12777,9328,2042,"0",10.3417424834673
"149","ART HISTORY AND CRITICISM",21030,3240,17790,"Humanities & Liberal Arts",0.845934379,17579,13262,6140,9965,0.060298284,31000,23000,40000,5139,9738,3426,"0",10.3417424834673
"150","FINE ARTS",74440,24786,49654,"Arts",0.667033853,59679,42764,23656,31877,0.084186296,30500,21000,41000,20792,32725,11880,"0",10.3254819625955
"151","FAMILY AND CONSUMER SCIENCES",58001,5166,52835,"Industrial Arts & Consumer Services",0.91093257,46624,36747,15872,26906,0.067128194,30000,22900,40000,20985,20133,5248,"0",10.3089526606443
"152","SOCIAL WORK",53552,5137,48415,"Psychology & Social Work",0.904074544,45038,34941,13481,27588,0.06882792,30000,25000,35000,27449,14416,4344,"0",10.3089526606443
